Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
259,Rusty LaRue\larueru01,PG,24,CHI,14,140,7.3,0.466,0.327,0.163,0.8,5.7,3.3,5.7,1.2,0.5,10.3,18.7,0,0.1,0.1,0.04,-3.7,-2.4,-6.1,-0.1
260,Priest Lauderdale\laudepr01,C,24,DEN,39,345,10,0.458,0,0.543,9,25.7,17.1,11.6,1.1,3.7,22.6,26.8,-0.9,0.2,-0.6,-0.087,-7.4,-1.3,-8.7,-0.6
261,Jason Lawson\lawsoja01,C,23,ORL,17,80,21.5,0.67,0,0.667,11.5,28.6,19.9,10.7,2.8,3.6,9.3,12.3,0.3,0.2,0.5,0.28,1.3,3.5,4.8,0.1
262,Tim Legler\legleti01,SG,31,WAS,8,76,-4.5,0.217,0.316,0.211,2.9,3.1,3,5.3,0.7,0,16.2,14.5,-0.3,0,-0.3,-0.165,-9.2,-2.6,-11.8,-0.2
263,Voshon Lenard\lenarvo01,SG,24,MIA,81,2621,13.3,0.547,0.443,0.21,3.3,9.5,6.5,11.8,1.2,0.4,9.6,18.4,4.5,2.5,7.1,0.129,1.8,-0.6,1.2,2.1
264,Alton Lister\listeal01,C,39,POR,7,44,2.4,0.375,0,0,5.5,23,14.5,3.4,1.2,1.7,20,10.3,-0.1,0.1,0,0.021,-7.7,0.9,-6.8,-0.1
265,Randy Livingston\livinra01,PG,22,ATL,12,82,5.2,0.352,0,0.417,1.5,6.9,4.3,8.8,4.7,1.7,29.7,11.4,-0.2,0.1,0,-0.028,-6.4,3.1,-3.3,0
266,Horacio Llamas Grey\llamaho01,C,24,PHO,8,42,8.6,0.472,0.143,0.476,11.4,38,25,4,1.3,5.2,26.2,37.1,-0.2,0.1,-0.1,-0.083,-11.9,-1.8,-13.7,-0.1
267,Brad Lohaus\lohaubr01,PF,33,SAS,9,102,5.2,0.426,0.667,0.143,3.6,9.6,6.8,7.4,0.5,1.4,11.8,11.6,0,0.1,0.1,0.043,-3.1,0,-3.2,0
268,Grant Long\longgr01,PF,31,DET,40,739,10,0.496,0.034,0.487,9.1,15.1,12.1,5.2,2.1,1.2,13.4,10.3,0.6,1,1.6,0.104,-1.9,1.6,-0.3,0.3
269,Luc Longley\longllu01,C,29,CHI,58,1703,13.5,0.492,0,0.243,7.6,15.4,11.5,15.5,1.1,2.6,16.2,21.2,0.6,2.8,3.4,0.096,-1.7,1.8,0.1,0.9
270,George Lynch\lynchge01,SF,27,VAN,82,1493,16.8,0.526,0.058,0.306,11.4,16.5,13.9,13.8,2.3,1.9,15.1,20.5,1.7,0.8,2.5,0.079,0.4,-0.1,0.3,0.9
271,Sam Mack\macksa01,SF,27,VAN,57,1414,12.4,0.519,0.481,0.138,2.4,8.4,5.4,11.9,1.5,0.5,10.4,20.8,1.3,-0.2,1.1,0.037,1.1,-3.4,-2.4,-0.1
272,Don MacLean\macledo01,SF,28,NJN,9,42,-6.5,0.15,0.2,0,7.8,5.9,6.9,0,0,0,16.7,12.4,-0.1,0,-0.2,-0.173,-10,-4.4,-14.3,-0.1
273,Gerald Madkins\madkige01,SG,28,GSW,19,243,9.8,0.499,0.441,0.206,0.9,5.9,3.3,27.9,2.8,0.3,26,9,0.1,0.2,0.3,0.057,-3.8,-1.6,-5.3,-0.2
